id,nombreCurso,grupo,nota,periodo
1,Electiva Libre I,4,4.0,2024-3
2,Electiva Profesional 5,1,0.8,2023-1
3,Electiva profesional 4,3,0.3,2024-3
4,Redes e Infraestructura,2,4.5,2024-1
5,Electiva Profesional 1,4,3.8,2022-3
6,Ingles 5,3,1.6,2022-1
7,Formación Ciudadana III: Paz y Convivencia,1,1.2,2023-3
8,Álgebra lineal,1,1.6,2021-1
9,Innovación y Emprendimiento,2,3.7,2022-3
10,Matemáticas Fundamentales,3,4.3,2021-1
11,Ingeniería y Sostenibilidad,2,0.2,2021-1
12,Formación Ciudadana II: Sociedad y Estado,3,4.9,2022-1
13,Álgebra lineal,2,2.1,2023-1
14,Introducción a la Ingeniería de Datos e Inteligencia Artificial,4,3.1,2022-3
15,Innovación y Emprendimiento,4,3.3,2021-3
16,Estadística y Probabilidad II,1,0.1,2023-3
17,Electiva profesional 4,1,0.3,2024-3
18,Programación,3,0.4,2022-1
19,Ingles 5,3,2.0,2023-3
20,Redes e Infraestructura,3,2.1,2021-3
21,Inteligencia Artificial,4,4.2,2024-3
22,Ingeniería y Sostenibilidad,1,2.8,2021-1
23,Transformación y Carga),4,4.0,2023-1
24,ETL (Extracción,3,2.3,2022-3
25,Cálculo 1,3,0.2,2021-3
26,Cálculo 1,1,3.7,2023-3
27,Ingles 2,4,3.6,2021-1
28,Formación Ciudadana II: Sociedad y Estado,4,2.9,2022-1
29,Sistemas Operativos,1,2.5,2022-1
30,Electiva Libre I,1,4.3,2024-3
31,Innovación y Emprendimiento,1,1.6,2021-3
32,Sistemas Operativos,3,1.5,2022-3
33,Almacenamiento de datos,2,2.2,2023-3
34,Sistemas Operativos,2,0.3,2023-1
35,Electiva Profesional 2,2,0.9,2023-3
36,Sistemas Operativos,2,3.6,2021-3
37,Formación Ciudadana II: Sociedad y Estado,2,2.7,2023-1
38,Estadística y Probabilidad II,1,4.0,2024-1
39,Redes e Infraestructura,3,2.4,2022-1
40,Electiva Libre I,4,2.8,2023-3
41,Electiva Libre I,3,0.7,2023-1
42,Ingles 3,3,0.8,2022-1
43,Electiva de Lectura y Escritura,3,1.1,2024-1
44,Cálculo 2,4,0.3,2023-1
45,Álgebra lineal,3,3.5,2022-3
