id,nombreCurso,grupo,nota,periodo
1,Seminario de Ing. de Datos e IA,4,1.6,2024-1
2,Redes e Infraestructura,2,2.8,2021-1
3,Inteligencia Artificial,1,2.5,2024-3
4,Innovación y Emprendimiento,3,0.2,2024-3
5,Electiva Profesional 5,2,1.0,2022-1
6,Matemáticas Fundamentales,2,3.1,2022-3
7,Almacenamiento de datos,1,0.1,2023-1
8,Electiva Libre I,3,3.7,2023-3
9,Sistemas Operativos,1,0.2,2022-3
10,Electiva Profesional 3,3,0.1,2021-1
11,Formación Ciudadana I : Identidades y Pluralismo,3,3.5,2022-3
12,Electiva profesional 4,4,0.6,2021-1
13,Redes e Infraestructura,2,3.2,2023-3
14,Electiva Profesional 5,2,2.6,2022-3
15,Electiva Profesional 1,3,1.5,2021-3
16,Formación Ciudadana I : Identidades y Pluralismo,4,0.6,2024-3
17,Matemáticas Fundamentales,3,1.5,2023-3
18,Seminario de Ing. de Datos e IA,4,3.1,2022-1
19,Electiva Profesional 1,2,1.2,2021-1
20,Ingles 2,4,2.3,2024-1
21,Innovación y Emprendimiento,1,3.5,2022-3
22,Programación,1,2.6,2023-1
23,Electiva de Lectura y Escritura,4,1.1,2023-3
24,Seminario de Ing. de Datos e IA,1,2.9,2024-1
25,Matemáticas Fundamentales,3,3.7,2021-3
26,Ingles 2,4,0.8,2023-3
27,Electiva profesional 4,1,4.5,2023-3
28,Electiva Profesional 2,2,0.4,2022-1
29,Comunicación Oral y Escrita,2,4.1,2023-3
30,Cálculo 1,4,0.1,2023-3
31,Redes e Infraestructura,2,2.4,2021-3
32,Ingles 4,3,0.7,2024-3
33,Seminario de Ing. de Datos e IA,3,1.6,2024-1
34,Sistemas Operativos,3,1.2,2021-3
35,ETL (Extracción Transformación y Carga),3,0.2,2022-1
36,Comunicación Oral y Escrita,3,2.1,2024-3
37,Lógica y Matemática Discreta,3,3.6,2024-1
38,Administración para Ingenieros,4,2.9,2021-3
39,Electiva Profesional 5,4,0.2,2022-3
40,Electiva Profesional 2,1,3.3,2024-3
41,Programación,2,0.6,2021-1
42,Electiva profesional 4,2,4.5,2021-1
43,Legislación y Ética en el Manejo de Datos,3,1.8,2021-1
44,Estadística y Probabilidad II,3,2.8,2021-1
45,Formación Ciudadana I : Identidades y Pluralismo,1,4.3,2024-1
46,Programación,1,3.1,2023-3
47,Introducción a la Ingeniería de Datos e Inteligencia Artificial,1,4.3,2021-3
48,Formación Ciudadana II: Sociedad y Estado,4,0.5,2024-1
49,Ingles 1,2,2.6,2021-3
50,Electiva de Lectura y Escritura,2,2.1,2021-1
51,Sistemas Operativos,3,3.1,2022-3
52,Cálculo 1,4,0.7,2023-1
53,Legislación y Ética en el Manejo de Datos,3,1.2,2021-3
54,Estadística y Probabilidad I,1,2.1,2024-1
55,Cálculo 1,2,3.3,2024-1
56,Innovación y Emprendimiento,2,2.8,2023-1
57,Cálculo 1,3,0.2,2021-3
58,Electiva Profesional 3,2,0.5,2023-1
59,Estadística y Probabilidad I,3,3.4,2022-1
60,Introducción a la Ingeniería de Datos e Inteligencia Artificial,3,2.6,2023-3
61,Ingles 5,4,3.0,2022-1
62,Electiva profesional 4,1,1.2,2021-3
63,Electiva de  Ciencias Sociales,3,1.9,2021-1
64,Electiva Profesional 5,2,2.6,2022-3
65,Electiva Profesional 2,2,2.0,2024-1
