id,nombreCurso,grupo,nota,periodo
1,Seminario de Ing. de Datos e IA,4,0.6,2023-3
2,Electiva de Lectura y Escritura,4,2.0,2024-3
3,Estadística y Probabilidad I,3,3.8,2021-1
4,Analítica de Datos,1,3.6,2022-1
5,Inteligencia Artificial,1,2.9,2022-1
6,Introducción a la Ingeniería de Datos e Inteligencia Artificial,1,3.2,2021-3
7,Cálculo 2,3,1.9,2024-3
8,Álgebra lineal,1,0.4,2021-3
9,Almacenamiento de datos,3,2.0,2023-3
10,Matemáticas Fundamentales,5,3.9,2024-1
11,Electiva Libre I,3,2.1,2024-1
12,Estadística y Probabilidad I,1,0.8,2021-1
13,ETL (Extracción Transformación y Carga),4,1.8,2021-3
14,Estadística y Probabilidad II,4,2.7,2022-1
15,Seminario de Ing. de Datos e IA,3,4.3,2022-1
16,Legislación y Ética en el Manejo de Datos,3,0.0,2021-1
17,Introducción a la Ingeniería de Datos e Inteligencia Artificial,2,0.9,2022-3
18,Matemáticas Fundamentales,4,2.6,2024-3
19,Lógica y Matemática Discreta,4,4.7,2021-1
20,Matemáticas Fundamentales,2,3.4,2022-3
21,Ingles 1,4,3.6,2023-3
22,Matemáticas Fundamentales,3,4.4,2023-1
23,Álgebra lineal,1,1.6,2021-1
24,Electiva profesional 4,5,0.8,2022-3
25,Introducción a la Ingeniería de Datos e Inteligencia Artificial,1,2.8,2021-3
26,Electiva Profesional 1,1,2.6,2023-3
27,Ingles 3,3,2.9,2023-3
28,Estadística y Probabilidad I,4,2.4,2024-3
29,Electiva Libre I,2,1.2,2022-3
30,Inteligencia Artificial,5,1.2,2024-3
31,Electiva profesional 4,5,2.1,2021-3
32,Seguridad de la Información,5,1.8,2023-3
33,Cálculo 1,2,3.6,2021-1
34,Ingles 3,5,4.2,2024-1
35,Electiva de  Ciencias Sociales,4,4.1,2023-3
36,Formación Ciudadana I : Identidades y Pluralismo,1,3.2,2022-3
37,Almacenamiento de datos,2,3.2,2021-1
38,Ingles 4,5,3.8,2021-1
39,Formación Ciudadana I : Identidades y Pluralismo,5,0.2,2024-1
40,Legislación y Ética en el Manejo de Datos,2,1.9,2021-1
41,Administración para Ingenieros,4,1.9,2022-1
42,Electiva Profesional 3,1,3.2,2022-1
43,Ingles 2,3,0.0,2024-1
44,ETL (Extracción Transformación y Carga),2,1.8,2023-1
45,Programación,2,4.8,2024-3
46,Estadística y Probabilidad I,2,3.5,2024-1
47,ETL (Extracción Transformación y Carga),1,2.4,2021-1
48,Legislación y Ética en el Manejo de Datos,2,0.1,2024-1
