id,nombreCurso,grupo,nota,periodo
1,Ingles 3,3,4.9,2024-3
2,Seguridad de la Información,4,4.9,2023-1
3,Ingeniería y Sostenibilidad,5,0.7,2021-3
4,ETL (Extracción Transformación y Carga),1,1.7,2024-3
5,Comunicación Oral y Escrita,1,2.9,2024-1
6,ETL (Extracción Transformación y Carga),3,4.2,2021-1
7,Lógica y Matemática Discreta,5,4.6,2021-1
8,Electiva de Lectura y Escritura,3,0.4,2022-3
9,Electiva de Lectura y Escritura,2,0.2,2023-1
10,Electiva Profesional 1,3,1.4,2022-3
11,Electiva Profesional 5,4,4.7,2022-3
12,Ingles 1,2,2.1,2022-1
13,Inteligencia Artificial,2,4.8,2023-1
14,Formación Ciudadana I : Identidades y Pluralismo,5,2.6,2022-1
15,Electiva profesional 4,3,0.5,2021-1
16,Formación Ciudadana II: Sociedad y Estado,2,4.5,2022-1
17,Formación Ciudadana I : Identidades y Pluralismo,5,1.1,2024-3
18,Almacenamiento de datos,1,3.1,2021-1
19,Electiva profesional 4,3,1.1,2022-3
20,Redes e Infraestructura,4,1.5,2021-1
21,Matemáticas Fundamentales,4,0.6,2024-3
22,Formación Ciudadana III: Paz y Convivencia,1,4.2,2021-3
23,Redes e Infraestructura,3,1.3,2023-3
24,Innovación y Emprendimiento,4,1.3,2024-3
25,Electiva Libre I,1,3.0,2022-1
26,Electiva Profesional 5,5,4.2,2021-1
27,Electiva Libre I,4,2.5,2022-1
28,Formación Ciudadana III: Paz y Convivencia,5,3.6,2022-3
29,Electiva Profesional 3,5,0.4,2024-1
30,Cálculo 2,2,3.7,2024-3
31,Formación Ciudadana I : Identidades y Pluralismo,3,2.9,2024-1
32,Seguridad de la Información,4,3.0,2024-3
33,Seguridad de la Información,4,2.5,2024-3
34,Administración para Ingenieros,3,1.5,2022-1
35,Electiva de Lectura y Escritura,4,1.1,2021-1
36,Almacenamiento de datos,2,4.2,2024-1
37,Almacenamiento de datos,4,3.6,2021-1
38,Formación Ciudadana III: Paz y Convivencia,2,1.8,2021-1
39,Electiva Profesional 5,3,3.0,2022-1
40,Electiva de  Ciencias Sociales,3,4.5,2022-3
41,Sistemas Operativos,3,1.3,2024-1
42,Ingles 5,1,0.6,2024-3
43,Almacenamiento de datos,2,0.4,2021-3
44,Electiva Profesional 1,2,4.3,2021-1
45,Redes e Infraestructura,5,4.4,2024-1
46,Programación,5,3.8,2022-1
47,Matemáticas Fundamentales,2,3.0,2022-1
48,Seminario de Ing. de Datos e IA,5,1.0,2023-1
49,Estadística y Probabilidad I,5,1.7,2022-1
50,Electiva Profesional 2,4,4.0,2021-1
51,Analítica de Datos,3,5.0,2022-3
52,Formación Ciudadana III: Paz y Convivencia,2,2.1,2023-1
53,Electiva Profesional 1,3,0.5,2022-1
54,Innovación y Emprendimiento,1,4.5,2022-3
55,Álgebra lineal,4,0.9,2024-3
56,Electiva Libre I,3,0.4,2021-3
57,Comunicación Oral y Escrita,3,0.3,2021-1
58,Electiva Profesional 1,1,1.2,2021-3
59,Ingles 4,2,0.4,2022-1
60,Electiva de  Ciencias Sociales,1,1.7,2024-3
61,Electiva Profesional 2,4,3.0,2024-1
62,Comunicación Oral y Escrita,4,2.3,2024-3
63,Innovación y Emprendimiento,4,3.4,2024-3
64,Lógica y Matemática Discreta,5,0.4,2022-3
65,Formación Ciudadana II: Sociedad y Estado,5,2.4,2021-1
66,Ingles 2,2,3.8,2022-1
67,Ingles 4,2,4.1,2021-3
68,Cálculo 2,2,2.7,2023-1
69,Cálculo 2,2,1.8,2024-3
70,Ingles 3,1,3.3,2021-3
71,Electiva Libre I,1,4.7,2022-3
72,Lógica y Matemática Discreta,2,2.8,2022-3
73,Electiva Profesional 3,2,4.0,2022-1
74,Ingles 2,2,0.7,2022-1
75,Lógica y Matemática Discreta,2,3.8,2024-3
76,Administración para Ingenieros,3,3.8,2023-1
77,Electiva Profesional 2,1,0.4,2021-1
78,Innovación y Emprendimiento,3,4.5,2021-3
79,Comunicación Oral y Escrita,1,1.4,2021-1
80,Lógica y Matemática Discreta,3,4.9,2024-3
81,Electiva Profesional 2,3,0.5,2022-3
82,Comunicación Oral y Escrita,2,3.9,2023-1
83,Electiva profesional 4,1,1.2,2024-3
84,Electiva de Lectura y Escritura,5,1.4,2021-3
85,Cálculo 2,5,3.3,2021-1
86,Estadística y Probabilidad I,1,4.7,2024-3
87,Innovación y Emprendimiento,5,1.4,2022-3
88,Cálculo 1,5,3.0,2022-1
89,Ingles 3,3,3.3,2024-1
90,Electiva Profesional 5,1,2.8,2024-1
91,Álgebra lineal,1,4.2,2022-3
92,Electiva Profesional 5,4,3.8,2024-3
93,Electiva Profesional 3,4,4.5,2024-1
94,Analítica de Datos,5,3.9,2021-1
95,Matemáticas Fundamentales,4,2.5,2021-3
96,Matemáticas Fundamentales,4,2.8,2023-1
97,Formación Ciudadana II: Sociedad y Estado,5,0.5,2024-1
98,Lógica y Matemática Discreta,4,3.7,2022-3
99,Lógica y Matemática Discreta,2,1.2,2022-3
100,Administración para Ingenieros,5,1.2,2024-1
101,Matemáticas Fundamentales,3,3.7,2023-3
102,Seminario de Ing. de Datos e IA,1,0.4,2024-1
103,Comunicación Oral y Escrita,3,0.4,2023-3
104,Electiva Profesional 2,5,4.3,2024-1
105,Legislación y Ética en el Manejo de Datos,1,2.9,2022-1
106,ETL (Extracción Transformación y Carga),1,1.4,2023-1
107,Ingles 3,1,0.4,2024-3
108,Legislación y Ética en el Manejo de Datos,2,2.2,2024-3
109,Ingeniería y Sostenibilidad,3,0.4,2022-1
110,Ingeniería y Sostenibilidad,5,2.1,2021-3
111,Electiva Profesional 3,5,4.5,2022-3
112,Cálculo 1,4,0.7,2024-1
113,Inteligencia Artificial,4,0.4,2024-3
114,Seguridad de la Información,3,2.7,2021-3
115,Electiva de  Ciencias Sociales,5,2.5,2022-3
116,Inteligencia Artificial,4,4.4,2023-1
117,Electiva de  Ciencias Sociales,4,1.3,2023-1
118,Electiva profesional 4,2,0.8,2024-3
119,Innovación y Emprendimiento,2,3.6,2021-1
120,Electiva Profesional 5,4,1.5,2024-3
121,Estadística y Probabilidad I,1,5.0,2024-3
122,Formación Ciudadana II: Sociedad y Estado,5,2.6,2021-3
123,Electiva profesional 4,1,5.0,2022-3
124,Ingles 3,4,1.3,2023-1
125,Ingles 5,4,3.7,2022-3
126,Electiva profesional 4,1,3.9,2022-3
127,Electiva Profesional 3,3,1.9,2024-1
128,Programación,4,2.3,2021-3
129,Ingles 1,2,2.9,2021-1
130,Lógica y Matemática Discreta,3,3.0,2023-1
131,Lógica y Matemática Discreta,5,1.9,2021-3
132,Introducción a la Ingeniería de Datos e Inteligencia Artificial,3,3.8,2023-3
133,Programación,4,2.1,2022-3
134,Legislación y Ética en el Manejo de Datos,2,4.4,2021-1
135,Formación Ciudadana I : Identidades y Pluralismo,3,2.2,2022-3
