id,nombreCurso,grupo,nota,periodo
1,Electiva de Lectura y Escritura,2,2.6,2023-3
2,Formación Ciudadana II: Sociedad y Estado,3,4.6,2022-3
3,Cálculo 2,1,4.7,2024-1
4,Legislación y Ética en el Manejo de Datos,2,3.6,2023-1
5,Electiva Profesional 3,1,4.9,2021-3
6,Innovación y Emprendimiento,3,2.9,2021-1
7,Analítica de Datos,1,4.1,2024-3
8,Comunicación Oral y Escrita,2,2.8,2022-3
9,Introducción a la Ingeniería de Datos e Inteligencia Artificial,2,4.7,2023-1
10,ETL (Extracción Transformación y Carga),4,1.9,2024-1
11,Electiva de Lectura y Escritura,1,0.6,2024-3
12,Seguridad de la Información,1,2.8,2022-3
13,ETL (Extracción Transformación y Carga),4,4.6,2024-3
14,Cálculo 1,4,2.1,2024-1
15,Estadística y Probabilidad II,4,3.1,2022-3
16,Seguridad de la Información,3,2.8,2021-3
17,Seminario de Ing. de Datos e IA,3,4.5,2023-1
18,Legislación y Ética en el Manejo de Datos,2,0.5,2023-3
19,Administración para Ingenieros,1,4.3,2022-1
20,Administración para Ingenieros,4,3.9,2024-3
21,Legislación y Ética en el Manejo de Datos,1,4.5,2021-1
22,Electiva de  Ciencias Sociales,4,3.7,2021-3
23,Ingles 4,1,4.3,2023-3
24,Electiva Profesional 1,3,1.8,2021-1
25,Administración para Ingenieros,4,3.9,2023-1
26,Electiva Profesional 1,4,3.9,2023-3
27,Introducción a la Ingeniería de Datos e Inteligencia Artificial,2,0.7,2022-3
28,Matemáticas Fundamentales,4,3.0,2022-1
29,Legislación y Ética en el Manejo de Datos,4,4.5,2022-1
30,Electiva de  Ciencias Sociales,4,2.3,2024-1
31,Programación,4,0.0,2024-1
32,Seminario de Ing. de Datos e IA,3,2.7,2023-3
33,Analítica de Datos,3,2.5,2022-1
34,Introducción a la Ingeniería de Datos e Inteligencia Artificial,2,4.4,2023-3
35,Álgebra lineal,4,5.0,2022-3
36,Legislación y Ética en el Manejo de Datos,4,3.8,2021-3
37,Electiva Profesional 2,1,1.9,2023-1
38,Ingles 2,3,1.0,2021-3
39,Programación,1,2.1,2021-3
